2023-12-12 21:16:18,699 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:16:18,700 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:16:18,700 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:16:47,700 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:16:47,700 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:16:47,700 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:16:53,315 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:16:53,319 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:16:53,319 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:30:29,843 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:30:30,040 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:30:30,040 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:32:55,641 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:32:55,641 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:32:55,641 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:33:31,187 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:33:31,187 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:33:31,187 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:34:48,348 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:34:48,348 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:34:48,348 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:46:13,857 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:46:18,162 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:46:20,924 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:46:50,191 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:46:50,191 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:46:50,192 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:50:16,190 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:50:18,899 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:50:22,191 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
2023-12-12 21:53:25,487 - INFO - (1, 'John Doe', 1234567890, '123 Main St, Cityville', 'john.doe@example.com')
2023-12-12 21:53:25,489 - INFO - (2, 'Jane Smith', 9876543210, '456 Oak St, Townsville', 'jane.smith@example.com')
2023-12-12 21:53:25,489 - INFO - (3, 'Bob Johnson', 5555555555, '789 Pine St, Villagetown', 'bob.johnson@example.com')
